№,Предложение
74,"Намекаю ему всячески, что мои чувства больше, чем серьезны..."
75,Он говорит взаимно...
76,Но опять же первой признаться до конца мне - это неправильно...
77,Как мне быть?
78,"Смысла терять такого человека тоже особенно нет, но у меня всё болит внутри от того, что я не любима(("
79,"Я знаю, что мой мужчина меня не любит."
80,"Мне 21, ему 32, встречаемся 3.5 года, он в последние месяца говорит, что меня не любит и это у него привычка, он не женится на мне, а я его люблю искренне, мы расставались несколько раз, душа и сердце к нему лежит."
81,"Я в последнее время ищу повод хотя бы с ним побыть полчаса, посмотреть на него."
82,Внутри все сжимается от того что знаю что он ко мне ничего не чувствует.
83,"Пример: я сегодня ему звонила 2 раза за день, он не брал трубку, потом написала, он заходил и не ответил, позже прочитал и тишина, уже вечером я у него спросила сможешь приехать сегодня, поговорим, кофе попьём, он спросил зачем, я тебя катать не собираюсь, у меня дела."
84,Моя самооценка и вера в лучшее падают ниже плинтуса.
85,"Если я перестану писать, звонить, он появится через неделю и напишет куда пропала, а потом у него резко появятся чувства."
86,"Это не все что я хотела написать, очень много плохого, но это основное, я понимаю что нахожусь в больных отношениях, и они меня разрушают(я 5 раз в больнице лежала, еле набрала вес, потеряла 27 кг)."
87,"Ходила к психологу, она мне не помогла, скорее всего я просто её не слушала, и понимаю что кроме меня самой не кто мне не поможет."
88,"И сейчас я пишу сюда монологом, чувствую себя какой то психопаткой."
89,Бесит свекровь и все его родственники!!!
90,Я скоро с ума сойду от его родственников!!!!!!
91,"Так вышло, что моя семья более обеспечена чем его, хотя мы оба выросли без пап!"
92,"Только моя мама впахивала, чтоб у меня было все, а его ""амеба"" вырастила его с братом чтоб они ее содержали."
93,"Брату 21 год, в голове только гулянки, вечно моего мужа напрягает: дай денег, отвези, забери и т.д."
94,А мой и отказывать не всегда хочет.
95,Брат же!
96,Они всю жизнь в однушке ютились!
97,"а как мы поженились у нас и квартирка отдельная, и машина, дача, гараж появились благодаря маме моей!"
98,"А те и рады , не упускают случая везде им наша помощь нужна((("
99,"Сейчас доче 6 мес так свекруха только собачку резиновую ей подарила, 2 банки питания и что то по мелочи!"
100,А только и слышно дай!!!!!!!!!!
101,Я на пределе!!!!
102,Что делать????????????????
103,"А я представляю, что переезжаю в старинную, просторную избушку в зеленном местечке, далеко от оживленного местонаселения."
104,"Работаю удаленно и хорошо зарабатываю, делаю ремонт со всеми удобствами."
105,Постепенно знакомлюсь с местным населением и узнаю что нахожусь на стыке двух миров.
106,"Появляются друзья Тим и Элисон (не спрашивайте, всегда знала что их так зовут)."
107,"Тим охотник, потерял родителей ребенком, воспитывал брат."
108,"Элисон учится на швею, была счастливым ребенком пока отец не умер, где мама непонятно, перешла на воспитание к бабушке, живет в ближайщем городе Ветров в общежитии."
109,"...Ух вижу, что у меня с родителями проблема..."
110,"У Тима есть верный пес Бой, который всегда Тима повсюду сопровождает."
111,"У меня кот Феня, который тоже меня всюду сопровождает, но при этом не стестняется выражать все что он о моих решениях думает."
112,В этом мире домашние животные часто сопровождают хозяев.
113,"Мы вместе тусуемся, справляем всякие разные волшебные праздники в том мире, например праздник летающих фонарей."
114,"Еще мы путешествуем время от времени по окрестностям, бывали в Красных Землях у Красной Горы."
115,"Там есть уютный, но не дорогой постоялый двор ""Усталый Путник""."
116,"Элисон хочет в этой местности собрать редкие цветы, порошок которых используется в водонепроницаемых тканях."
117,"А Тим желает найти драконов, хотя они большая редкость и уже более нескольких десятков лет, не показываются людям...."
118,"Короче, весело, так и живем :)"
119,Но только не Овны.
120,Он будет гневно возмущаться ее недоверчивостью и даже может обвинить ее в бесчувственности и отсутствии воображения.
121,Он сильно ошибается.
122,"Эта женщина наделена прекрасным живым воображением, однако она настолько скрытна, что все считают ее ужасно прозаичной."
123,Она не любит выставлять напоказ свой блестящий ум и тайные мысли.
124,"Когда появился он, лихой, великолепный Овен, у нее возникло чувство, что она совсем особенная."
125,"Оно согрело холодное сердце Девы и сделало ее более уверенной в себе, чем когда-либо."
126,"Но он, как и все остальные, обвиняет ее в отсутствии воображения и бесчувственности."
127,"А может, это он бесчувственный?"
128,Внутренний мир женщины не может быть заполнен только воображаемыми волшебными созданиями.
129,"И тем не менее это прекрасная страна чудес, потому что она видит красоту в малом и обыденном."
130,"Если мужчина-Овен, любящий ее, по-настоящему поймет это, прекратит кричать на нее и этим унижать, она может поведать ему о своих несбыточных желаниях и тайных фантазиях, стать нежной и ласковой и открыть свои страхи вместо того, чтобы прятать обиду в душе."
131,"Да, она многому научится у него."
132,"Симорон и всякие обряды помогают получить веру в то, что желание сбудется."
133,А это очень важно!
134,"У человека появляется уверенность, что если он сейчас спрыгнет с унитаза, то скоро в его жизни произойдёт чудо."
135,И чудо происходит!
136,"А вот если он прыгает и думает: ""Интересно. а получится ли? А сбудется?"" - ничего не получается."
137,"Зеланд также советует завести себе талисманы, приносЯщие любовь, удачу, деньги - кому что нужно."
138,"Это может быть любой предмет (опять помогут симоронские ритуалы - сеточка для ловли мужей или коробочка для сокровищ...) или даже простое ваше украшение, или камешек, что угодно."
139,"И вы должны ВЕРИТЬ, что эта вещица действительно приносит вам желаемое."
140,"Тем самым вы наделяете эту вещь фантомной энергией, которая действительно помогает вам и приносит удачу."
141,"Гость, вы наивностью удивляете."
142,Все М. врут и распускают хвост перед Ж. только чтобы та юбку скорее сняла.
143,И это не просто нормально - это суть М.
144,Да не развести телку на кайф - это просто быть откровенным лохом.
145,"Нет, вы можете делать вид, что мол где-то, в далекой-далекой галактике есть чудо прынцы, честные, открытые, наивные и чистые как дети... ага... мы все такими были, в детстве, но со временем по умнели, обзавелись рогами и хвостами."
146,Все ЗЗ без исключения !
147,Про воображаемый мир.
148,"А вы почему говорите, что это плохо ?!"
149,"Да я живу в жизни фантазиями, от и до."
150,Псих.
151,"Но не значит, что я неадекватен."
152,Сколько знаю успешных людей - они все фантазеры и все выдают желаемое за действительное и только на этом держится успех.
153,"Бизнес - любой, это авантюра."
154,"Ну нет и не будет у Вас никогда полных данных, чтобы принять разумное и обоснованное решение."
155,"Встаешь с утра, торкнуло и вперед, выйдет-не выйдет."
156,Мужчины должны знать свое место
157,"1) не надо ныть про армию и про то, как там плохо, что женщины тоже должны там служить- армию придумали мужчины для мужчин"
158,Потому что их инстинкты заставляют их биться за чужие территории
159,Это мужская прихоть служить в армии
160,"Сами придумали- сами на себя злитесь, женщины тут ни при чем"
161,"2) не надо ныть, что """"она забеременела, но я не хочу ребенка, но она не согласна на аборт и теперь я должен платить за ее хотелки, нести ответственность за ее решения!""""- благо в правительстве не такие отбитые люди сидят и понимают, что это именно твоя хотелка- секс, это твое решение не предохраняться и зачать ребенка"
162,"Ребенок имеет право на жизнь и женщина не обязана лишать ребенка жизни, потому что тебе """"только разочек с ней повеселиться хотелось"""""
163,"и ты обязан платить алименты, потому что это твой ребенок и твое решение зачать его"
164,"Женщина не обязана растить его на свои деньги, неся всю ответственность за твои решения"
165,"3) не надо верещать про меркантильность женщин, несогласие на извращения в постели, не вкусную еду, непокорность и еще что-то- вас послушать так вы от женщин хотите все и сразу"
166,"А главное, бесплатно"
167,"Это ваша любимая фраза """"должно быть что-то взамен"""", но вы от женщин многое требуете и ничего давать не хотите"
168,"4) почему мужчины на форуме осмеливаются вякать, что мужчина главный, а женщина должна подчиняться?"
169,"Почему жалуются, что современные женщины к мужчинам относятся, как к рабам?"
170,"Вам не нравится, что женщины не учитывают ваше мнение, унижают вас?"
171,"Так это то, с чем сталкивались женщины веками"
172,Теперь черед мужчин прогибаться
173,"Будь любезен, плати за девушку, уступай ей место, носи тяжести, не бей в ответ"
174,"А если решишь нарушить эти правила- тебе другие мужчины объяснят (👊👊), как с женщинами обращаться нельзя"
175,"5) так задумано природой, что женщина рожает детей, а мужчина ее и детей кормит и защищает"
176,Женщин всегда спасали первыми и это правильно
177,"Не надо говорить, что ты главнее, потому что у тебя деньги"
178,"Главнее женщина, потому что она рожает детей"
179,Понятно?
180,Добрый день
181,У меня нет сил бороться
182,Мне 33 года
183,С мужем большие проблемы
184,"Он то уходит из семьи, то приходит"
185,"Живём как соседи, на контакт не идёт"
186,"Сам ходит чернее тучи, с детьми не общается, с родителями не общается"
187,Секса нет уже 4 месяца
188,"Говорит, что не хочет и не может"
189,Ходит к психологу
190,Хотя ему 34 всего
191,"До этого 11 лет жили, все было хорошо"
192,"Любовь, страсть, дети-погодки, путешествия"
193,"Самое обидное, я не понимаю, когда и почему все сломалось"
194,"Говорит, что дело не во мне, а в нем"
195,Что он себя потерял
196,Телефон свой от меня прячет
197,"Я подозреваю, что кто-то есть"
198,"Больше всего меня беспокоит, что у меня очень ухудшилось самочувствие за это время"
199,"Я не могу с утра встать с кровати, не могу ничего делать по дому, мысли в голову лезут очень плохие, удерживают только дети"
200,Я как на автомате
201,Вечерами просто тупо могу лежать и смотреть в потолок
202,"Головой я понимаю, что так нельзя, что хуже от этого только мне и детям, но ничего не могу с собой поделать"
203,"Я говорю мужу, чтоб он уходил, если с нами не хочет, отпускаю с миром и желаю счастья"
204,Не уходит
205,"Или уходит, через неделю остаётся с детьми переночевать, и так на несколько ночей"
206,"Я всегда считала себя умной женщиной, психологом, а тут я ничего не понимаю"
207,"Кто справился с депрессией, дайте дельный совет, пожалуйста"
208,Последний разрыв шаблона в моей жизни – это посещение Африки
209,"Многие убеждены, что там опасно: всякие вирусы, малярия"
210,Все это ерунда
211,"Африка – огромный континент, там прекрасная природа, прекрасные люди и звездное небо"
212,Я в восторге и обязательно вернусь туда!
213,"Мне кажется, что каждый должен побывать в местах, не тронутых цивилизацией"
214,"Кстати, в Африке я не встретила ни одного русского"
215,"Там были немцы, французы и еще кто-то, а по-русски никто не говорил"
216,Меня очень разочаровал Марракеш
217,Я всегда сужу о стране по людям
218,И в арабских странах живут люди непростые
219,"Но есть, например, Амман в Иордании, жители которого в основном гостеприимны и приветливы"
220,А вот в Марракеше люди агрессивные
221,"Когда местные жители начинают бить тебя палками только за то, что ты их фотографируешь без предупреждения, это ужасно"
222,"Кроме того, нас постоянно пытались там обмануть: местные торговцы в три раза завышали цены и обсчитывали нас"
223,Поэтому в Марракеш я возвращаться не хочу
224,"То же самое касается Каира – люди прекрасные, но там очень грязно и неприятно"
225,"Безумно люблю Южную Америку, правда, там тоже надо быть аккуратнее"
226,"Например, в Перу много энергетически сильных мест"
227,"Я чувствительный человек и понимаю, где мне хорошо, где плохо, а где нужно быть начеку"
228,И вот Перу как раз такое место
229,"Там много шаманов, духов"
230,"Нужно прислушиваться ко всему, что происходит"
231,"Если к тебе подошли попросить денег, то лучше дать их"
232,Для местных жителей магия – это абсолютно нормально
233,И сходить к колдуну для них – обычное дело
234,"Самое ценное для меня – это люди, которые встречаются в разных уголках земли"
235,"Они все такие разные, каждый со своей историей"
236,"Даже обычный водитель в Тунисе может сказать такие слова, что ты по-новому понимаешь все вокруг"
237,Я их называю учителями
238,Очень советую всем брать с собой в путешествия лекарства
239,"Соберите небольшую аптечку, в которой обязательно должны быть: антибиотики, энтеросорбент (при отравлении), что-то от диареи"
240,И пейте больше воды
241,"У нас в группе периодически случались форс-мажоры, когда кто-то заболевал, но всегда обходилось без госпитализации"
242,"Единственное, что неприятно, – на работе ты должен работать"
243,"Никто не видит, в каком ты состоянии до команды «Мотор!», и тебе надо отработать в кадре как ни в чем не бывало"
244,"Без тканевых масок, кремов, ночных и дневных масок вообще никуда не уезжаю"
245,Для меня крем на лице – это must have!
246,"Я не делаю никаких омолаживающих процедур, а для ухода за кожей использую корейские кремы и маски"
247,"Я не хожу в спа, на укладку или мейкап, все делаю сама"
248,В поездках у нас даже нет визажиста
249,Недавно я очень поправилась
250,"Видимо, сказываются многочисленные перелеты и неправильное питание в дороге"
251,"Я стала заниматься спортом, но вес продолжал прибавляться"
252,На самом деле перелеты сильно дисбалансируют организм
253,"Мне понадобилось три месяца, чтобы убрать лишний вес без вреда здоровью: только спортом и здоровым питанием"
254,И я еще на пути к своему идеальному телу
255,"Сейчас я совсем не ем сладкого, каждый день занимаюсь спортом, не ем мяса, жирного, а из мучного могу позволить себе немного хлеба с утра"
256,В Москве обычно занимаюсь с тренером и хожу на йогу
257,В поездках бегаю или выполняю кардиоупражнения
258,"Когда я вижу полненьких людей в спортзале, мне хочется их обнять, прижать к себе"
259,"Я понимаю, как трудно бороться с лишним весом"
260,Очень их за это рвение уважаю
261,Главное – не останавливаться!
262,Мой духовный рост начался с осознания смерти
263,"Я была уже взрослой, но почему-то раньше о конечности бытия не задумывалась"
264,"А когда поняла, что все мы умрем и этот мир однажды исчезнет навсегда, уже смотрела на жизнь иначе"
265,"Тогда я была атеисткой, увлекалась философией и много читала Шопенгауэра"
266,Потом стала искать себя в религии
267,И до сих пор я ищущий человек
268,Важно услышать себя
269,"Надо чаще находить время, чтобы побыть наедине с собой"
270,Мне в этом помогает медитация
271,Я безумно хочу пройти випассану
272,Випассана практикуется везде: от Подмосковья до Лос-Анджелеса
273,"Это поездка где-то на неделю в ашрам, все это время ты находишься в ограниченном пространстве с другими людьми, группа насчитывает около 30 человек"
274,Ты не разговариваешь ни с кем и медитируешь по 10 часов в день с небольшими перерывами
275,Люди выходят оттуда с полным порядком в голове
276,"Конечно, это тяжело, но внутри происходят такие изменения, такое просвещение!"
277,"Счастье, любовь – все это уже есть внутри нас, и не нужен какой-то другой человек со стороны, чтобы ощутить это"
278,Я хочу новых проектов
279,Хочу работать в кино и театре
280,Хочу работать над своим брендом
281,"Я не говорю, что я дизайнер, нет"
282,"Я себя трезво оцениваю и просто хочу делать для людей то, чего пока нет, и делать это доступным"
283,Хочу семью
284,Детей хочу
285,"Я люблю готовить, хотя раньше этого не переносила"
286,"Сейчас я понимаю, что женщине важно уметь готовить для своего мужчины, создавать уют"
287,Раньше я была поглощена только своей карьерой
288,Это неправильно
289,"На работе, в поездках, мы все готовим друг другу"
290,И мне хотелось бы так же готовить для своей семьи
291,"Если бы я встретила себя маленькую, то крепко обняла бы себя, с большой любовью"
292,"И сказала бы: «Бог есть, ничего не бойся"
293,"Мечтай, иди вперед"
294,Все получится!
295,Мне 19 лет
296,"Тяжелое детство, развод родителей, псих.травма, на качественную психотерапию нет денег, и дальше по нарастающей, как снежный ком"
297,"Я изгой абсолютно везде: и в семье, и в обществе"
298,"В семье со всеми очень плохие отношения, когда - то пыталась отстаивать свои личные границы, устала, против этих совковых представителей ничем не попрешь"
299,"Сейчас просто забила, и все вытирают об меня ноги: ""НУТЫЖЕДЕВОЧКА, ТЫ ДОЛЖНА ТО, ДОЛЖНА ЭТО"""
300,"Все любят старшего брата, которому 25 лет, систематически прогуливает пары в престижном универе, не работает, отец из кожи вон лезет, чтобы оплатить его учёбу: ""НУОНЖЕМАЛЬЧИК"""
301,"Меня же родили для функции: ""Приложение для уборки и готовки"", которое параллельно с заочкой работает 5/2 по 12 часов, дабы хоть немного не зависеть от родителей"
302,"Тем не менее, семья просто ждет, когда же я наконец - то свалю"
303,"Постоянно попрекают меня деньгами, едой: ""Сегодня ты съела столько - то, я тебе дал столько - то"""
304,"Полное отсутствие личной жизни, хотя очень хочется найти человека, создать с ним семью, но, я сама понимаю, что я из той категории девушек, кто ждёт ""того единственного"" и в 20, и в 25, 30, 60+ лет"
305,И в итоге не дожидается
306,"Либо же берут местного алкаша и терпеливо терпят его побои, дабы без члена не остаться"
307,Не хочу я так
308,"Но не притягиваю я противоположный пол, вот и все"
309,Неинтересна я им
310,"У меня нет даже приятелей, я уже молчу о друзьях"
311,"Единственное, чем я горжусь, это тем, что почти полностью выучила английский язык самостоятельно, и тем, что нашла в себе силы бросить ненавистную учёбу в колледже, куда меня запихнули родители, чисто потому, что я прошла бесплатно: ""ТЫ БУДЕШЬ ВРАЧОМ, Я ВРАЧ, БАБУШКА - ВРАЧ, ВЫКИНЬ ТЫ СВОЮ ГИТАРУ И МИКРОФОН, ПОЗОРИШЬ НАШУ СЕМЬЮ, ЭТО ВСЕ НЕСЕРЬЁЗНО"", и ушла туда, куда всегда хотела - в музыкальное училище"
312,"Да, я ушла в никуда"
313,Я хочу стать знаменитой англоязычной певицей
314,Хотела
315,Меня спустили с небес на землю
316,"Понимаю, что это невозможно"
317,Слишком поздно
318,У меня нет денег для раскрутки
319,Меня не любят
320,"Муж назвал конченой, истеричкой, сказал, что занимается сексом со мной из-за не имения лучшего"
321,А потом всё это сказанное выводит на шутки
322,"Типо ‘хахаха, это шутка, а ты повелась’"
323,"В ответ я ему сказала, что его секса это ‘потыкаться’ на пару минут"
324,Вот это его мужское эго задело
325,А что ещё он хотел услышать в ответ после его противных слов?)
326,"Много раз говорил, что он со мной только из-за ребёнка"
327,"Что я уже не та, что была раньше, что у меня морщины появились, растяжки после родов"
328,И весь этот комплект гнилых комплиментов в мою сторону
329,"Начнёшь предъявлять ему за эти слова, а он такой: ‘да что ты, это же шутки, ты у меня самая любимая, хорошая, милая, единственная’"
330,Я растоптана
331,Ощущаю себя никчёмной и никому не нужной
332,"Конечно у меня будут морщины в 30 лет, он сам что ли с идеальным лицом"
333,"Да, перед месячными пару прыщиков появляется"
334,Но кожа у меня чистая
335,"Растяжки у всех есть, у меня только на бёдрах полосы совсем светлые и не заметные"
336,"Он просто с говном мешает меняет, а потом выставляет всё в шутку"
337,"Говорит потом, что я только плохое запоминаю"
338,А он оказывается и хорошее много говорит
339,Я себя чувствую на столько опустошённой…
340,"Все равно я не понимаю как можно жить с таким человеком,который тра*ался с другой,признавался ей в любви и прочее"
341,"Это тоже самое,что жить с предателем,себя не уважать"
342,"А Вы просто посадили своего на кол жопой,если он уйдет к другой,то без денег"
343,"Это уж никак любовью назвать нельзя,фу"
344,И как вы с ним сейчас можете спать вместе и жить
345,"Думаете сейчас он завязал с изменами(ну может и завязал,все равно осадок есть)?"
346,Или может тоже как многие измену с проституткой не считают?
347,"Да и просто,лично я,так не смогу"
348,"Пусть я лучше буду одна,чем жить с предателем,любить его"
349,ИМХО
350,"Может конечно глупо,но я верю в настоящую любовь и думаю,что мой мч мне не изменит(уже с лишним года и я ничего не нашла пока,а если найду,то все"
351,может это излишнее самолюбие конечно)
352,"Да,мог,но я имела ввиду постоянные измены или тип мужчин,скрывающих либо прекращающих на время"
353,"Один раз можно,но для себя отомстить нужно))"
354,"Я до сих пор не могу простить того,как нашла в истории фотки женщин каких-то с сайта ню"
355,"Обидно,самолюбие гложит в этот момент"
356,"Я его чуть не избила,даже до слез довела здоровенного мужика в котором почти два метра роста и веса под сотню"
357,"Уже давно мучаюсь чувством, что муж меня не любит"
358,Мне 25
359,"С мужем мы вместе 8 лет, из них 2 года женаты"
360,"До свадьбы гражданским браком не жили, просто встречались"
361,Меня убивает холодность и равнодушие мужа в последнее время
362,"Раньше он очень меня любил, это было настолько очевидно, что даже сомневаться в этом было невозможно"
363,А теперь совсем не то
364,"Он никогда меня не целует, а если я сама целую его, то он отстраняется"
